domain,problem,k,iterations,relevant_plans,irrelevant_plans,unfiltered_plans,processed_plans,relevant_plans_pctg,irrelevant_plans_pctg,unfiltered_plans_pctg,planning_time,extending_plans_time,task_reformulation_time,independent_planning_time,global_time,planning_time_pctg,extending_plans_time_pctg,task_reformulation_time_pctg,independent_planning_time_pctg
intrusion-detection,p1.pddl,50,1,50,0,0,50,1.0,0.0,0.0,0.14,0,0.08000000000000007,11.259999999999998,13.641681909561157,0.01026266415887304,0.0,0.005864379519356027,0.82541141734936
intrusion-detection,p0.pddl,50,1,50,0,0,50,1.0,0.0,0.0,0.14,0,0.08000000000000007,12.090000000000003,14.252270221710205,0.009822996464573113,0.0,0.005613140836898927,0.8482859089763498
intrusion-detection,p6.pddl,5,1,5,0,0,5,1.0,0.0,0.0,0.14,0,0.07000000000000006,1.2100000000000004,1.6349132061004639,0.08563145705693025,0.0,0.04281572852846516,0.7401004502777544
intrusion-detection,p10.pddl,10,1,10,0,0,10,1.0,0.0,0.0,0.14,0,0.07000000000000006,2.4300000000000006,3.1502392292022705,0.04444106933283666,0.0,0.022220534666418348,0.7713699891342364
intrusion-detection,p18.pddl,10,1,10,0,0,10,1.0,0.0,0.0,0.14,0,0.09000000000000008,2.340000000000001,2.820669412612915,0.0496336080272206,0.0,0.03190731944607041,0.8295903055978305
intrusion-detection,p6.pddl,100,1,100,0,0,100,1.0,0.0,0.0,0.13,0,0.08000000000000007,20.250000000000004,22.850462198257446,0.005689162821831835,0.0,0.0035010232749734397,0.8861965164776513
intrusion-detection,p5.pddl,10,1,10,0,0,10,1.0,0.0,0.0,0.13,0,0.08000000000000007,2.35,2.8533918857574463,0.04555981274387443,0.0,0.02803680784238429,0.8235812303700378
intrusion-detection,p13.pddl,100,1,100,0,0,100,1.0,0.0,0.0,0.14,0,0.07999999999999985,19.67000000000001,22.946368932724,0.006101183172399225,0.0,0.0034863903842281213,0.8572162357220914
intrusion-detection,p14.pddl,100,1,100,0,0,100,1.0,0.0,0.0,0.14,0,0.08999999999999986,20.770000000000017,22.932480335235596,0.006104878231810407,0.0,0.003924564577592398,0.9057022919621589
intrusion-detection,p17.pddl,25,1,25,0,0,25,1.0,0.0,0.0,0.14,0,0.07999999999999985,5.56,6.138127326965332,0.02280825935052988,0.0,0.01303329105744562,0.9058137284924722
intrusion-detection,p4.pddl,5,1,5,0,0,5,1.0,0.0,0.0,0.14,0,0.05999999999999983,1.3000000000000003,1.6353793144226074,0.08560705077123278,0.0,0.036688736044813944,0.7949226143043044
intrusion-detection,p16.pddl,50,1,50,0,0,50,1.0,0.0,0.0,0.14,0,0.07999999999999985,10.849999999999996,11.823608636856079,0.01184071667964361,0.0,0.006766123816939192,0.9176555426723793
intrusion-detection,p1.pddl,5,1,5,0,0,5,1.0,0.0,0.0,0.18000000000000005,0,0.07000000000000028,1.3599999999999999,1.990677833557129,0.0904214619591957,0.0,0.03516390187302069,0.6831843792472562
intrusion-detection,p12.pddl,50,1,50,0,0,50,1.0,0.0,0.0,0.15000000000000002,0,0.06999999999999984,10.859999999999998,11.985917091369629,0.012514686932717598,0.0,0.005840187235268198,0.9060633339287538
intrusion-detection,p18.pddl,25,1,25,0,0,25,1.0,0.0,0.0,0.14,0,0.07000000000000006,5.550000000000001,6.205962419509888,0.022558950656851776,0.0,0.011279475328425896,0.8943012581823383
intrusion-detection,p2.pddl,10,1,10,0,0,10,1.0,0.0,0.0,0.14,0,0.08000000000000007,2.24,2.800175666809082,0.04999686328948637,0.0,0.028569636165420804,0.7999498126317819
intrusion-detection,p12.pddl,25,1,25,0,0,25,1.0,0.0,0.0,0.13,0,0.06999999999999984,5.58,6.201239824295044,0.020963549819616657,0.0,0.011288065287485867,0.8998200614881612
intrusion-detection,p19.pddl,50,1,50,0,0,50,1.0,0.0,0.0,0.14,0,0.08000000000000007,10.489999999999998,11.68507194519043,0.011981098675017055,0.0,0.0068463421000097505,0.8977266078637777
intrusion-detection,p13.pddl,10,1,10,0,0,10,1.0,0.0,0.0,0.14,0,0.07999999999999985,2.1500000000000004,2.752561330795288,0.05086171865952585,0.0,0.029063839234014715,0.781090679414147
intrusion-detection,p19.pddl,5,1,5,0,0,5,1.0,0.0,0.0,0.14,0,0.08000000000000007,1.23,1.6391949653625488,0.08540777818277127,0.0,0.04880444467586934,0.7503683368914904
intrusion-detection,p16.pddl,5,1,5,0,0,5,1.0,0.0,0.0,0.14,0,0.07000000000000006,1.2999999999999998,1.6346471309661865,0.08564539547887047,0.0,0.04282269773943527,0.795278672303797
intrusion-detection,p3.pddl,100,1,100,0,0,100,1.0,0.0,0.0,0.14,0,0.09000000000000008,19.689999999999998,22.90186333656311,0.006113039709589405,0.0,0.003929811241878907,0.8597553705843956
intrusion-detection,p17.pddl,5,1,5,0,0,5,1.0,0.0,0.0,0.14,0,0.05999999999999983,1.2999999999999998,1.6334385871887207,0.08570876254426638,0.0,0.03673232680468548,0.7958670807681876
intrusion-detection,p12.pddl,10,1,10,0,0,10,1.0,0.0,0.0,0.13,0,0.07000000000000006,2.4000000000000004,2.8054726123809814,0.04633800359564732,0.0,0.02495123270534858,0.8554708356119507
intrusion-detection,p16.pddl,10,1,10,0,0,10,1.0,0.0,0.0,0.14,0,0.06999999999999984,2.3700000000000006,3.0234227180480957,0.046305135952138116,0.0,0.023152567976069002,0.7838798014754811
miconic,p9.pddl,10,2,16,0,0,16,1.0,0.0,0.0,0.25000000000000033,0,0.17000000000000015,3.6799999999999997,4.576623439788818,0.05462542489874068,0.0,0.03714528893114365,0.8040862545094617
miconic,p22.pddl,100,1,100,0,0,100,1.0,0.0,0.0,0.18000000000000005,0,0.10000000000000009,22.970000000000006,28.114638328552246,0.006402358724892375,0.0,0.0035568659582735436,0.8170121106154326
miconic,p13.pddl,100,49,100,0,0,100,1.0,0.0,0.0,23.359999999999996,0,15.170000000000007,27.239999999999934,74.74367904663086,0.3125347895361992,0.0,0.20296030638973223,0.364445533688615
miconic,p1.pddl,100,1,100,0,0,100,1.0,0.0,0.0,0.18000000000000005,0,0.09000000000000008,19.690000000000012,23.1576828956604,0.007772798375856977,0.0,0.003886399187928491,0.8502577778923551
miconic,p32.pddl,10,1,10,0,0,10,1.0,0.0,0.0,0.45999999999999996,0,0.09999999999999987,4.119999999999999,5.1883039474487305,0.0886609583130144,0.0,0.019274121372394412,0.7940938005426507
miconic,p21.pddl,25,1,25,0,0,25,1.0,0.0,0.0,0.22999999999999998,0,0.07000000000000006,6.03,7.576555967330933,0.03035680076696171,0.0,0.00923902632037966,0.7958761244555614
miconic,p23.pddl,25,1,25,0,0,25,1.0,0.0,0.0,0.18000000000000005,0,0.08000000000000007,5.88,7.45069694519043,0.024158813775964082,0.0,0.010737250567095154,0.7891879166814931
miconic,p3.pddl,50,6,56,0,0,56,1.0,0.0,0.0,0.6999999999999967,0,0.6100000000000003,11.92,15.592671155929565,0.04489288544598091,0.0,0.03912094303149785,0.7644617064515642
miconic,p29.pddl,50,1,50,0,0,50,1.0,0.0,0.0,0.25,0,0.31000000000000005,15.460000000000004,17.431469678878784,0.014341877340550228,0.0,0.017783927902282285,0.8869016947396263
miconic,p5.pddl,25,6,25,0,0,25,1.0,0.0,0.0,0.7099999999999985,0,0.4699999999999982,5.870000000000003,8.243543148040771,0.08612801404075175,0.0,0.05701431915373698,0.7120724541115692
miconic,p24.pddl,10,1,10,0,0,10,1.0,0.0,0.0,0.27,0,0.32000000000000006,3.499999999999999,4.507192373275757,0.0599042547198331,0.0,0.07099763522350591,0.7765366352570955
miconic,p14.pddl,5,2,5,0,0,5,1.0,0.0,0.0,0.2500000000000001,0,0.09000000000000008,1.08,1.750859022140503,0.14278705300576627,0.0,0.05140333908207589,0.6168400689849101
miconic,p15.pddl,10,5,10,0,0,10,1.0,0.0,0.0,0.46999999999999986,0,0.4200000000000008,2.709999999999999,4.632744312286377,0.1014517461612387,0.0,0.09065900720791564,0.584966451270121
miconic,p4.pddl,5,1,5,0,0,5,1.0,0.0,0.0,0.18000000000000005,0,0.09000000000000008,1.1600000000000001,1.7028717994689941,0.10570378818659712,0.0,0.052851894093298595,0.6812021905358481
miconic,p26.pddl,5,1,5,0,0,5,1.0,0.0,0.0,0.25,0,0.1200000000000001,1.9599999999999997,2.971311569213867,0.08413792837825607,0.0,0.04038620562156295,0.6596413584855275
miconic,p21.pddl,10,1,10,0,0,10,1.0,0.0,0.0,0.21999999999999997,0,0.07000000000000006,2.58,3.4270858764648438,0.06419448123866026,0.0,0.020425516757755557,0.7528261890715614
miconic,p9.pddl,5,1,5,0,0,5,1.0,0.0,0.0,0.17000000000000004,0,0.08000000000000007,1.2399999999999998,1.6874566078186035,0.10074333124320227,0.0,0.04740862646738934,0.7348337102445339
miconic,p10.pddl,100,21,104,0,0,104,1.0,0.0,0.0,5.229999999999996,0,3.560000000000006,24.509999999999987,38.34514284133911,0.13639276352783958,0.0,0.0928409633191415,0.6391943850989195
miconic,p6.pddl,25,7,25,0,0,25,1.0,0.0,0.0,0.7900000000000015,0,0.540000000000002,6.25,8.751442909240723,0.09027082827288216,0.0,0.06170411046500817,0.7141679451968511
miconic,p5.pddl,50,11,52,0,0,52,1.0,0.0,0.0,1.6199999999999957,0,1.2700000000000067,12.399999999999999,17.78523278236389,0.09108680329483303,0.0,0.07140755566940671,0.6972076301579829
miconic,p13.pddl,5,2,5,0,0,5,1.0,0.0,0.0,0.22000000000000008,0,0.09000000000000008,1.1099999999999994,1.7605359554290771,0.12496194657176528,0.0,0.051120796324813096,0.6304898213393606
miconic,p22.pddl,25,1,25,0,0,25,1.0,0.0,0.0,0.18000000000000005,0,0.06999999999999984,5.88,8.292470216751099,0.02170643913033216,0.0,0.008441392995129152,0.7090770115908503
miconic,p35.pddl,10,1,10,0,0,10,1.0,0.0,0.0,0.5,0,0.09999999999999987,3.77,4.848989963531494,0.1031142575588778,0.0,0.020622851511775533,0.7774815019939387
miconic,p17.pddl,100,49,100,0,0,100,1.0,0.0,0.0,24.979999999999976,0,19.810000000000002,27.319999999999993,80.99931478500366,0.30839767060134204,0.0,0.24456997016063223,0.3372868038762479
miconic,p18.pddl,10,1,10,0,0,10,1.0,0.0,0.0,0.20999999999999996,0,0.07000000000000006,2.52,3.379791021347046,0.062134019137166235,0.0,0.020711339712388768,0.7456082296459949
miconic,p20.pddl,25,1,25,0,0,25,1.0,0.0,0.0,0.18000000000000005,0,0.10000000000000009,5.869999999999998,7.404980421066284,0.024307964338152948,0.0,0.013504424632307202,0.7927097259164319
miconic,p1.pddl,50,1,50,0,0,50,1.0,0.0,0.0,0.18000000000000005,0,0.07999999999999985,9.830000000000002,12.448477029800415,0.014459600123701715,0.0,0.006426488943867415,0.7896548289777103
miconic,p7.pddl,5,1,5,0,0,5,1.0,0.0,0.0,0.16000000000000003,0,0.07999999999999985,1.1800000000000002,1.6881072521209717,0.09478070768250822,0.0,0.047390353841254014,0.6990077191584981
miconic,p27.pddl,5,1,5,0,0,5,1.0,0.0,0.0,0.27,0,0.08000000000000007,1.8100000000000007,2.410048007965088,0.11203096332839162,0.0,0.033194359504708656,0.7510223837940329
